,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액,건축년도,도로명,해제사유발생일
6832,경기도 용인기흥구 중동,9*,단독,8m미만,162.7,240.0,202104,8,83600,2012.0,동백중앙로54번길,
6833,경기도 용인기흥구 중동,1**,단독,12m미만,171.7,261.0,202104,23,68811,2017.0,동백2로,
6861,경기도 용인기흥구 지곡동,4**,단독,8m미만,138.28,248.0,202106,19,51900,2016.0,지삼로107번길,
6862,경기도 용인기흥구 지곡동,4**,단독,8m미만,162.24,253.0,202104,8,50800,2016.0,지삼로107번길,
6863,경기도 용인기흥구 지곡동,5**,단독,8m미만,143.7,261.0,202103,31,51370,2020.0,지삼로98번길,
6864,경기도 용인기흥구 지곡동,5**,단독,8m미만,137.68,268.0,202106,29,57000,2020.0,지삼로98번길,
6865,경기도 용인기흥구 지곡동,4**,단독,8m미만,148.44,405.0,202106,30,59500,2007.0,지삼로107번길,
6866,경기도 용인기흥구 지곡동,4**,단독,8m미만,210.26,441.0,202105,19,79520,2017.0,지삼로107번길,
6867,경기도 용인기흥구 지곡동,5**,단독,8m미만,148.03,451.0,202105,24,57420,2020.0,지삼로98번길,
6868,경기도 용인기흥구 청덕동,4**,단독,12m미만,130.68,204.0,202104,6,68000,2013.0,구성3로64번길,
6869,경기도 용인기흥구 하갈동,2**,단독,8m미만,145.49,222.0,202103,1,70000,2019.0,덕영대로1967번길,20210525.0
6870,경기도 용인기흥구 하갈동,2**,단독,-,145.49,222.0,202103,1,70000,2019.0,덕영대로1967번길,20210524.0
6871,경기도 용인기흥구 하갈동,2**,단독,8m미만,145.49,222.0,202105,26,67740,2019.0,덕영대로1967번길,
6874,경기도 용인기흥구 하갈동,3**,단독,8m미만,191.0,507.0,202106,9,79000,2008.0,청명산로,
6877,경기도 용인수지구 고기동,2**,단독,-,191.07,222.0,202101,11,77420,2020.0,이종무로49번길,
6878,경기도 용인수지구 고기동,2**,단독,8m미만,165.67,230.0,202105,29,81500,2020.0,고기로377번길,
6879,경기도 용인수지구 고기동,2**,단독,8m미만,189.08,230.0,202106,24,95400,2020.0,고기로377번길,
6882,경기도 용인수지구 고기동,2**,단독,8m미만,149.25,263.0,202101,25,76000,2020.0,샘말로92번길,
6883,경기도 용인수지구 고기동,1**,단독,8m미만,108.96,279.0,202106,15,77000,2016.0,고기로377번길,
